,ID,trial,chooseDes,whichWorld,chooseTV,desWorld,whatIsDes,seqLength,desCount,desProp,RT.lev,RT.raw,RT.log,aniFlagCount,outcomeDesSeq,correct,desPropC,evidForChoice,undesCount,desDiff,diffForChoice,itemsForChoiceCount,chooseDes.m,desWorldC,chooseDesC,chooseDesF,desWorldF,RTq5,timingFlag,timingRelative
254,56,X3,0,0,0,0,tv,6,2,0.333333333,662,3160,8.058327307,0,100001,1,-0.166666667,0.666666667,4,-2,2,4,1,-1,-1,chose undesirable,undesirable fac.,"(2.1e+03,3.34e+03]",FALSE,410
255,57,X3,0,0,1,1,ph,37,20,0.540540541,2010,19904,9.898675996,0,1.11E+36,0,0.040540541,0.459459459,17,3,-3,17,0,1,-1,chose undesirable,desirable fac.,"(8.01e+03,8.89e+04]",FALSE,104
256,58,X3,0,1,0,1,tv,7,3,0.428571429,2900,3490,8.157657015,0,1010001,0,-0.071428571,0.571428571,4,-1,1,4,0,1,-1,chose undesirable,desirable fac.,"(3.34e+03,4.98e+03]",FALSE,190
257,59,X3,1,1,1,1,tv,8,5,0.625,831,4376,8.383890344,0,101111,1,0.125,0.625,3,2,2,5,1,1,1,chose desirable,desirable fac.,"(3.34e+03,4.98e+03]",FALSE,526
258,60,X3,0,0,0,0,tv,19,7,0.368421053,1840,10087,9.219002745,0,1.00E+18,1,-0.131578947,0.631578947,12,-5,5,12,1,-1,-1,chose undesirable,undesirable fac.,"(8.01e+03,8.89e+04]",FALSE,187
260,62,X3,0,0,1,1,ph,17,6,0.352941176,4885,9189,9.125762396,0,1.01E+14,0,-0.147058824,0.647058824,11,-5,5,11,0,1,-1,chose undesirable,desirable fac.,"(8.01e+03,8.89e+04]",FALSE,389
261,63,X3,0,0,1,1,ph,9,2,0.222222222,934,4408,8.391176351,0,100000001,0,-0.277777778,0.777777778,7,-5,5,7,0,1,-1,chose undesirable,desirable fac.,"(3.34e+03,4.98e+03]",FALSE,8
262,64,X3,0,0,0,0,tv,15,5,0.333333333,1634,8242,9.016998312,0,1101110000,1,-0.166666667,0.666666667,10,-5,5,10,1,-1,-1,chose undesirable,undesirable fac.,"(8.01e+03,8.89e+04]",FALSE,542
263,65,X3,0,0,0,0,tv,8,3,0.375,1893,4315,8.369852604,0,10110000,1,-0.125,0.625,5,-2,2,5,1,-1,-1,chose undesirable,undesirable fac.,"(3.34e+03,4.98e+03]",FALSE,465
264,66,X3,0,0,0,0,tv,17,8,0.470588235,1642,8863,9.089640587,0,1.10E+13,1,-0.029411765,0.529411765,9,-1,1,9,1,-1,-1,chose undesirable,undesirable fac.,"(8.01e+03,8.89e+04]",FALSE,63
265,67,X3,1,1,0,0,ph,14,6,0.428571429,2390,7622,8.938794081,0,10010110110,0,-0.071428571,0.428571429,8,-2,-2,6,0,-1,1,chose desirable,undesirable fac.,"(4.98e+03,8.01e+03]",FALSE,472
